Code,Description
G720,Drug-induced myopathy
G721,Alcoholic myopathy
G722,Myopathy due to other toxic agents
G723,Periodic paralysis
G724,"Inflammatory myopathy, not elsewhere classified"
G728,Other specified myopathies
G729,"Myopathy, unspecified"
G73,Disorders of myoneural junction and muscle in diseases classified elsewhere
G730,Myasthenic syndromes in endocrine diseases
G731,Lambert-Eaton syndrome
G732,Other myasthenic syndromes in neoplastic disease
G733,Myasthenic syndromes in other diseases classified elsewhere
G734,Myopathy in infectious and parasitic diseases classified elsewhere
G735,Myopathy in endocrine diseases
G736,Myopathy in metabolic diseases
G737,Myopathy in other diseases classified elsewhere
G80,Cerebral palsy
G800,Spastic quadriplegic cerebral palsy
G801,Spastic diplegic cerebral palsy
G802,Spastic hemiplegic cerebral palsy
G803,Dyskinetic cerebral palsy
G804,Ataxic cerebral palsy
G808,Other cerebral palsy
G809,"Cerebral palsy, unspecified"
G81,Hemiplegia
G810,Flaccid hemiplegia
G811,Spastic hemiplegia
G819,"Hemiplegia, unspecified"
G82,Paraplegia and tetraplegia
G820,Flaccid paraplegia
G821,Spastic paraplegia
G822,"Paraplegia, unspecified"
G823,Flaccid tetraplegia
G824,Spastic tetraplegia
G825,"Tetraplegia, unspecified"
G83,Other paralytic syndromes
G830,Diplegia of upper limbs
G831,Monoplegia of lower limb
G832,Monoplegia of upper limb
G833,"Monoplegia, unspecified"
G834,Cauda equina syndrome
G835,Locked-in syndrome
G838,Other specified paralytic syndromes
G839,"Paralytic syndrome, unspecified"
G90,Disorders of autonomic nervous system
G900,Idiopathic peripheral autonomic neuropathy
G901,Familial dysautonomia [Riley-Day]
G902,Horner syndrome
G904,Autonomic dysreflexia
G908,Other disorders of autonomic nervous system
G909,"Disorder of autonomic nervous system, unspecified"
G91,Hydrocephalus
G910,Communicating hydrocephalus
G911,Obstructive hydrocephalus
G912,Normal-pressure hydrocephalus
G913,"Post-traumatic hydrocephalus, unspecified"
G918,Other hydrocephalus
G919,"Hydrocephalus, unspecified"
G92X,Toxic encephalopathy
G93,Other disorders of brain
G930,Cerebral cysts
G931,"Anoxic brain damage, not elsewhere classified"
G932,Benign intracranial hypertension
G933,Postviral fatigue syndrome
G934,"Encephalopathy, unspecified"
G935,Compression of brain
G936,Cerebral oedema
G937,Reye syndrome
G938,Other specified disorders of brain
G939,"Disorder of brain, unspecified"
G94,Other disorders of brain in diseases classified elsewhere
G940,Hydrocephalus in infectious and parasitic diseases classified elsewhere
G941,Hydrocephalus in neoplastic disease
G942,Hydrocephalus in other diseases classified elsewhere
G948,Other specified disorders of brain in diseases classified elsewhere
G95,Other diseases of spinal cord
G950,Syringomyelia and syringobulbia
G951,Vascular myelopathies
G952,"Cord compression, unspecified"
G958,Other specified diseases of spinal cord
G959,"Disease of spinal cord, unspecified"
G96,Other disorders of central nervous system
G960,Cerebrospinal fluid leak
G961,"Disorders of meninges, not elsewhere classified"
G968,Other specified disorders of central nervous system
G969,"Disorder of central nervous system, unspecified"
G97,"Postprocedural disorders of nervous system, not elsewhere classified"
G970,Cerebrospinal fluid leak from spinal puncture
G971,Other reaction to spinal and lumbar puncture
G972,Intracranial hypotension following ventricular shunting
G978,Other postprocedural disorders of nervous system
G979,"Postprocedural disorder of nervous system, unspecified"
G98X,"Other disorders of nervous system, not elsewhere classified"
G99,Other disorders of nervous system in diseases classified elsewhere
G990,Autonomic neuropathy in endocrine and metabolic diseases
G991,Other disorders of autonomic nervous system in other diseases classified elsewhere
G992,Myelopathy in diseases classified elsewhere
G998,Other specified disorders of nervous system in diseases classified elsewhere
H00,Hordeolum and chalazion
H000,Hordeolum and other deep inflammation of eyelid
H001,Chalazion
H01,Other inflammation of eyelid
H010,Blepharitis
H011,Noninfectious dermatoses of eyelid
H018,Other specified inflammation of eyelid
H019,"Inflammation of eyelid, unspecified"
H02,Other disorders of eyelid
H020,Entropion and trichiasis of eyelid
H021,Ectropion of eyelid
H022,Lagophthalmos
H023,Blepharochalasis
H024,Ptosis of eyelid
H025,Other disorders affecting eyelid function
H026,Xanthelasma of eyelid
H027,Other degenerative disorders of eyelid and periocular area
H028,Other specified disorders of eyelid
H029,"Disorder of eyelid, unspecified"
H03,Disorders of eyelid in diseases classified elsewhere
H030,Parasitic infestation of eyelid in diseases classified elsewhere
H031,Involvement of eyelid in other infectious diseases classified elsewhere
H038,Involvement of eyelid in other diseases classified elsewhere
H04,Disorders of lacrimal system
H040,Dacryoadenitis
H041,Other disorders of lacrimal gland
H042,Epiphora
H043,Acute and unspecified inflammation of lacrimal passages
H044,Chronic inflammation of lacrimal passages
H045,Stenosis and insufficiency of lacrimal passages
H046,Other changes in lacrimal passages
H048,Other disorders of lacrimal system
H049,"Disorder of lacrimal system, unspecified"
H05,Disorders of orbit
H050,Acute inflammation of orbit
H051,Chronic inflammatory disorders of orbit
H052,Exophthalmic conditions
H053,Deformity of orbit
H054,Enophthalmos
H055,Retained (old) foreign body following penetrating wound of orbit
H058,Other disorders of orbit
H059,"Disorder of orbit, unspecified"
H06,Disorders of lacrimal system and orbit in diseases classified elsewhere
H060,Disorders of lacrimal system in diseases classified elsewhere
H061,Parasitic infestation of orbit in diseases classified elsewhere
H062,Dysthyroid exophthalmos
H063,Other disorders of orbit in diseases classified elsewhere
H10,Conjunctivitis
H100,Mucopurulent conjunctivitis
H101,Acute atopic conjunctivitis
H102,Other acute conjunctivitis
H103,"Acute conjunctivitis, unspecified"
H104,Chronic conjunctivitis
H105,Blepharoconjunctivitis
H108,Other conjunctivitis
H109,"Conjunctivitis, unspecified"
H11,Other disorders of conjunctiva
H110,Pterygium
H111,Conjunctival degenerations and deposits
H112,Conjunctival scars
H113,Conjunctival haemorrhage
H114,Other conjunctival vascular disorders and cysts
H118,Other specified disorders of conjunctiva
H119,"Disorder of conjunctiva, unspecified"
H13,Disorders of conjunctiva in diseases classified elsewhere
H130,Filarial infection of conjunctiva
H131,Conjunctivitis in infectious and parasitic diseases classified elsewhere
H132,Conjunctivitis in other diseases classified elsewhere
H133,Ocular pemphigoid
H138,Other disorders of conjunctiva in diseases classified elsewhere
H15,Disorders of sclera
H150,Scleritis
H151,Episcleritis
H158,Other disorders of sclera
H159,"Disorder of sclera, unspecified"
H16,Keratitis
H160,Corneal ulcer
H161,Other superficial keratitis without conjunctivitis
H162,Keratoconjunctivitis
H163,Interstitial and deep keratitis
H164,Corneal neovascularization
H168,Other keratitis
H169,"Keratitis, unspecified"
H17,Corneal scars and opacities
H170,Adherent leukoma
H171,Other central corneal opacity
H178,Other corneal scars and opacities
H179,"Corneal scar and opacity, unspecified"
H18,Other disorders of cornea
H180,Corneal pigmentations and deposits
H181,Bullous keratopathy
H182,Other corneal oedema
H183,Changes in corneal membranes
H184,Corneal degeneration
H185,Hereditary corneal dystrophies
H186,Keratoconus
H187,Other corneal deformities
H188,Other specified disorders of cornea
H189,"Disorder of cornea, unspecified"
H19,Disorders of sclera and cornea in diseases classified elsewhere
H190,Scleritis and episcleritis in diseases classified elsewhere
H191,Herpesviral keratitis and keratoconjunctivitis
H192,Keratitis and keratoconjunctivitis in other infectious and parasitic diseases classified elsewhere
H193,Keratitis and keratoconjunctivitis in other diseases classified elsewhere
H198,Other disorders of sclera and cornea in diseases classified elsewhere
H20,Iridocyclitis
H200,Acute and subacute iridocyclitis
H201,Chronic iridocyclitis
H202,Lens-induced iridocyclitis
H208,Other iridocyclitis
H209,"Iridocyclitis, unspecified"
H21,Other disorders of iris and ciliary body
H210,Hyphaema
H211,Other vascular disorders of iris and ciliary body
H212,Degeneration of iris and ciliary body
H213,"Cyst of iris, ciliary body and anterior chamber"
H214,Pupillary membranes
H215,Other adhesions and disruptions of iris and ciliary body
H218,Other specified disorders of iris and ciliary body
H219,"Disorder of iris and ciliary body, unspecified"
H22,Disorders of iris and ciliary body in diseases classified elsewhere
H220,Iridocyclitis in infectious and parasitic diseases classified elsewhere
H221,Iridocyclitis in other diseases classified elsewhere
H228,Other disorders of iris and ciliary body in diseases classified elsewhere
H25,Senile cataract
H250,Senile incipient cataract
H251,Senile nuclear cataract
H252,"Senile cataract, morgagnian type"
H258,Other senile cataract
H259,"Senile cataract, unspecified"
H26,Other cataract
H260,"Infantile, juvenile and presenile cataract"
H261,Traumatic cataract
H262,Complicated cataract
H263,Drug-induced cataract
H264,After-cataract
H268,Other specified cataract
H269,"Cataract, unspecified"
H27,Other disorders of lens
H270,Aphakia
H271,Dislocation of lens
H278,Other specified disorders of lens
H279,"Disorder of lens, unspecified"
H28,Cataract and other disorders of lens in diseases classified elsewhere
H280,Diabetic cataract
H281,"Cataract in other endocrine, nutritional and metabolic diseases"
H282,Cataract in other diseases classified elsewhere
H288,Other disorders of lens in diseases classified elsewhere
H30,Chorioretinal inflammation
H300,Focal chorioretinal inflammation
H301,Disseminated chorioretinal inflammation
H302,Posterior cyclitis
H308,Other chorioretinal inflammations
